biblio_code;Auteurs;Reference ;Lien/doi;
22.1;Guery_2013;Guery, Julien. “Etude de l’occupation Ancienne de La Côte Viticole et de La Plaine de La Saône Au Travers de Traces Parcellaires et Culturales Révélées En Microtopographie LiDAR.” Mémoire de Master 2 Recherche AGES, UMR 6298 ArTeHiS, 2013, p. 64. www.academia.edu, https://www.academia.edu/10463238/Etude_de_loccupation_ancienne_de_la_C%C3%B4te_viticole_et_de_la_plaine_de_la_Sa%C3%B4ne_au_travers_de_traces_parcellaires_et_culturales_r%C3%A9v%C3%A9l%C3%A9es_en_microtopographie_LiDAR.;https://www.academia.edu/10463238/Etude_de_loccupation_ancienne_de_la_C%C3%B4te_viticole_et_de_la_plaine_de_la_Sa%C3%B4ne_au_travers_de_traces_parcellaires_et_culturales_r%C3%A9v%C3%A9l%C3%A9es_en_microtopographie_LiDAR;
23;Hanusin et al_2021;Hanusin, Jan, et al. “Stone Mounds and Walls as a Relict of Traditional Viticultural Landscape (Case Study Modra Area, Slovakia).” Geografický ?asopis - Geographical Journal, vol. 73, Mar. 2021, pp. 5–20. ResearchGate, https://doi.org/10.31577/geogrcas.2021.73.1.01.;https://doi.org/10.31577/geogrcas.2021.73.1.01;
24;Hirsch_2023;Hirsch, Florian, et al. Soil Properties and Tree Growth at Medieval Ridge and Furrow Sites in Brandenburg, Northeastern Germany. May 2023. ResearchGate.;https://doi.org/10.1002/jpln.202200345;
25;Houben_2018;Houben, Peter. “Scale Linkage and Contingency Effects of Field-Scale and Hillslope-Scale Controls of Long-Term Soil Erosion: Anthropogeomorphic Sediment Flux in Agricultural Loess Watersheds of Southern Germany.” Geomorphology, vol. 101, nos. 1–2, Oct. 2008, pp. 172–91. Crossref;https://doi.org/10.1016/j.geomorph.2008.06.007;
26;Houfkova_2015;Houfková, Petra, et al. “Origin and Development of Long-Strip Field Patterns: A Case Study of an Abandoned Medieval Village in the Czech Republic.” CATENA, vol. 135, Dec. 2015, pp. 83–91. ScienceDirect;https://doi.org/10.1016/j.catena.2015.06.017;
27;Jackovicova_2023;Jackovi?ová, J., et al. “Spatial Determinants of the Distribution of Lynchets and Stone Walls in NW Czechia: A Broad-Scale Study.” Applied Geography, vol. 158, Sept. 2023, p. 103036. Crossref;https://doi.org/10.1016/j.apgeog.2023.103036;
28;Kokalj_Hesse_2017;Kokalj, Žiga, and Ralf Hesse. Airborne Laser Scanning Raster Data Visualization. ZRC SAZU, Založba ZRC, 2017. Prostor, Kraj, ?as. Crossref.;https://doi.org/10.3986/9789612549848;
29;Kothieringer2022_Borg2025;Kothieringer, Katja, et al. “Mid- to Late Holocene Landscape Dynamics and Rural Settlement in the Uplands of Northern Bavaria, Germany.” Geoarchaeology, vol. 38, no. 2, no. 2, 2023, pp. 220–45. Wiley Online Library;https://doi.org/10.1002/gea.21952;
30.1;Langewitz_2020;"
  Langewitz, T., et al. “Historical Classification of Ridge and Furrow Cultivation at Selected Locations in Northern and Central Germany Using a Multi-Dating Approach and Historical Sources.” Journal of Archaeological Science, vol. 123, Nov. 2020, p. 105248. ScienceDirect, .";https://doi.org/10.1016/j.jas.2020.105248;
30.2;Langewitz_2021;"Langewitz, Theresa, et al. “Pedological Properties Related to Formation and Functions of Ancient Ridge and Furrow Cultivation in Central and Northern Germany.” CATENA, vol. 198, Mar. 2021, p. 105049. ScienceDirect
"; https://doi.org/10.1016/j.catena.2020.105049;
31;Latocha_2019; Latocha, Agnieszka, et al. “Landscape Memory in Abandoned Areas—Physical and Ecological Perspectives (Central European Mountains Case Study).” Landscape Research, vol. 44, no. 5, no. 5, July 2019, pp. 600–13. Taylor and Francis+NEJM, https://doi.org/10.1080/01426397.2018.1493446.;https://doi.org/10.1080/01426397.2018.1493446;
32.1;Leroy_2003;"Georges-Leroy, M., Dambrine, E., Dupouey, J.-L., Laffite, J.-D., 2003. Habitats gallo-romains et structures agraires fossiles du plateau de la Côte bajocienne (Meurthe-et-Moselle et Vosges). Etat de la question, dans F. Favory, A. Vignot (dir.). Actualité de la recherche en histoire et archéologie agraires. Actes du colloque international AGER V – 19-20 septembre 2000, Besançon, Presses Universitaires Franc-Comtoises, coll. « Annales Littéraires?; 764 », p. 173-180.";;
32.2;Leroy_2007;"GEORGES-LEROY et al. 2007 : GEORGES-LEROY (M.), HECKENBENNER (D.), LAFFITE (J.-D.), MEYER (N.), “Les parcellaires 
anciens fossilisés dans les forêts lorraines”. In : La mémoire des forêts. Actes du colloque “Forêt, archéologie et environne
ment” 14-16 décembre 2004, ONF, INRA, DRAC Lorraine, p. 121-131.
";;
32.3;Leroy_2009_2020; Georges-Leroy, M., Bock, J., Dambrine, E., Dupouey, J.L., 2009. L’apport du laser scanneur aéroporté à l’étude des parcellaires gallo-romains du massif forestier de Haye (Meurthe-et-Moselle), in: GMPCA (Ed.), Archéométrie. p. 133. ---  Georges-Leroy, Murielle. “Typologie d’après LiDAR des structures agraires et parcellaires fossilisées sous couvert forestier en Lorraine.” Archéologies numériques, vol. 4, no. 1, no. 1, 2020. DOI.org (Crossref);https://doi.org/10.21494/ISTE.OP.2020.0521;
32.4;Leroy_2014;Georges-Leroy, Murielle, et al. “Parcellaires et habitat antiques des forêts du plateau de Haye en Lorraine?: bilan et perspectives.” 2014, Les parcellaires conservés sous forêt. shs.hal.science;https://hal.science/hal-01067845;
33;Leturcq_2008;Leturcq, Samuel. Fonction et Devenir d’un Réseau Invisible, Les Crêtes de Labour Dans Les Terroirs Baucerons. 2008.;https://shs.hal.science/halshs-00355292v1;
34.1;Lieskovsky_2014;Lieskovský, Juraj, et al. “Factors Affecting the Persistence of Traditional Agricultural Landscapes in Slovakia during the Collectivization of Agriculture.” Landscape Ecology, vol. 29, no. 5, no. 5, May 2014, pp. 867–77. Springer Link; https://doi.org/10.1007/s10980-014-0023-1;
34.2;Lieskovsky_2022;Lieskovsky, Juraj, et al. “Potential of Airborne LiDAR Data in Detecting Cultural Landscape Features in Slovakia.” Landscape Research, vol. 47, Apr. 2022, pp. 1–20. ResearchGate;https://doi.org/10.1080/01426397.2022.2045923;
35;LoziÄ‡_2025;Lozi?, Edisa, and Benjamin Štular. “Archaeological LiDAR in Mediterranean Karst Landscapes. A Multiproxy Dating Method for Archaeological Landscape and a Case Study From Prehistoric Kras Plateau (Slovenia).” Archaeological Prospection, vol. 32, no. 1, no. 1, Jan. 2025, pp. 119–37. DOI.org (Crossref), ;https://doi.org/10.1002/arp.1954;
36;Luetzenburg_2020;Luetzenburg, Gregor, et al. “Climate and Land Use Change Effects on Soil Erosion in Two Small Agricultural Catchment Systems Fugnitz – Austria, Can Revull – Spain.” Science of The Total Environment, vol. 704, Feb. 2020, p. 135389. Crossref, .;https://doi.org/10.1016/j.scitotenv.2019.135389;
37;Malinaetal2021;Malina, Ond?ej, et al. “Možnosti srovnávací analýzy plužiny zaniklých st?edov?kých vsí. Vypovídací hodnota vybraných lokalit a role digitálního modelu reliéfu z dat leteckého laserového skenování.” Musaica Archaeologica, vol. 6, nos. 1–2, Dec. 2021, pp. 177–96. DOI.org (Crossref), .;https://doi.org/10.46283/musarch.2021.1.2.07;
38;Migon_and_Latocha_2018;Migo?, Piotr, and Agnieszka Latocha. “Human Impact and Geomorphic Change through Time in the Sudetes, Central Europe.” Quaternary International, Past environments in mid-latitude mountain regions, vol. 470, Mar. 2018, pp. 194–206. ScienceDirect, ;https://doi.org/10.1016/j.quaint.2018.01.038;
